
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
-2 1 0 65.646389 152677.701416
-2 1 -2 67.487836 12743.971379
-1 0 -8 70.590111 3341.636219
-2 1 -4 72.877397 3938.472151
0 0 -10 74.762839 2521.716582
-2 0 0 77.497085 15361.846952
-2 0 -1 77.929364 3874.625508
-1 0 -9 78.053252 116809.526631
-2 0 -2 79.222131 197.164225
-2 0 -3 81.364808 104351.382462
-2 1 -6 81.548025 121571.254094
-2 0 -4 84.344915 3167.857374
-1 0 -10 86.161904 455.184663
-2 0 -5 88.155156 1833.861625
-2 0 -6 92.802727 32555.907836
-2 1 -8 93.407178 695.566649
0 0 -12 93.528578 18983.490998
-1 0 -11 95.041169 947.733643
-2 0 -7 98.321723 3265.965318
-2 0 -8 104.791902 1405.670193
-1 0 -12 104.917270 16818.549970
-2 1 -10 108.954551 7635.242210
-3 1 0 111.786173 16730.516358
-3 1 -1 112.241766 4547.673714
-2 0 -9 112.372746 65896.400369
-3 1 -2 113.617641 329.647978
-3 1 -3 115.943869 134155.044178
-1 0 -13 116.213695 4282.288659
0 0 -14 116.415826 374.493715
-3 1 -4 119.281008 4944.927175
-2 0 -10 121.378930 407.054370
-3 1 -5 123.741027 3473.187179
-3 1 -6 129.533581 66261.460330
-1 0 -14 129.848533 218.667593
-2 1 -12 130.479762 118466.454622
-2 0 -11 132.493344 1266.696679
-3 1 -7 137.084978 9248.237958
-3 0 0 139.720449 71592.138422
-3 0 -2 142.409098 7777.231339
-3 1 -8 147.452120 5681.028185
-2 0 -12 147.678054 28717.464163
-1 0 -15 148.709383 118389.327190
-3 0 -4 151.744914 4465.443130
-3 1 -9 165.526559 513481.276502
